ticker,isin,name,currency,sector,country
SU29027RMFS8,RU000A10AA93,ОФЗ 29027,RUB,Government,Россия
SU29015RMFS3,RU000A1025A7,ОФЗ 29015,RUB,Government,Россия
SU26228RMFS5,RU000A100A82,ОФЗ 26228,RUB,Government,Россия
RU000A10BPZ1,RU000A10BPZ1,АФК Система БО 002Р-02,RUB,Financial,Россия
RU000A109E71,RU000A109E71,ТрансКонтейнер П02-01,RUB,Industrials,Россия
RU000A10FA64,RU000A10FA64,ИНАРКТИКА 002Р-06,RUB,Consumer,Россия
RU000A10AV15,RU000A10AV15,ВИС ФИНАНС БО-П07,RUB,Financial,Россия
SIBN6P3,RU000A10CLW5,Газпром нефть 006Р-03,RUB,Energy,Россия
SU26226RMFS9,RU000A0ZZYW2,ОФЗ 26226,RUB,Government,Россия
RU000A10C5L7,RU000A10C5L7,Селигдар 001Р-04,RUB,Materials,Россия
RU000A10CR50,RU000A10CR50,ГТЛК БО 002P-10,RUB,Financial,Россия
RU000A10DA41,RU000A10DA41,ВИС ФИНАНС БО-П10,RUB,Financial,Россия
SU46023RMFS6,RU000A0JRTL6,ОФЗ 46023,RUB,Government,Россия
RU000A10BW62,RU000A10BW62,МТС 002P-12,RUB,Telecom,Россия
SU26212RMFS9,RU000A0JTK38,ОФЗ 26212,RUB,Government,Россия
RU000A108Z85,RU000A108Z85,РЖД БО 001P-32R,RUB,Industrials,Россия
RU000A10CS75,RU000A10CS75,Аэрофлот П02-БО-02,RUB,Consumer,Россия
RU000A10F7L0,RU000A10F7L0,Атомэнергопром 001P-12,RUB,Energy,Россия
RU000A106K43,RU000A106K43,РЖД БО 001Р-26R,RUB,Industrials,Россия
SU26232RMFS7,RU000A1014N4,ОФЗ 26232,RUB,Government,Россия
RU000A105YB1,RU000A105YB1,Медси ГК 001P-02,RUB,HealthCare,Россия
RU000A10ASC6,RU000A10ASC6,Европлан 001P-09,RUB,Other,Россия
RU000A10DPS2,RU000A10DPS2,Атомэнергопром 001Р-09,RUB,Energy,Россия
RU000A10CFK2,RU000A10CFK2,Кредитный поток 2.0,RUB,Financial,Россия
RU000A10DD30,RU000A10DD30,СФО СБ Секьюритизация 3 кл.А1,RUB,Financial,Россия
RU000A108777,RU000A108777,Балтийский лизинг БО-П10,RUB,Financial,Россия
RU000A10BGY3,RU000A10BGY3,МТС 002P-10,RUB,Telecom,Россия
RU000A10C6L5,RU000A10C6L5,Атомэнергопром 001Р-07,RUB,Energy,Россия
RU000A10AZ45,RU000A10AZ45,РЖД БО 001P-37R,RUB,Industrials,Россия
SIBN6P1,RU000A10C1S1,Газпром Нефть 006Р-01R,RUB,Energy,
RU000A10DTA2,RU000A10DTA2,Селигдар 001Р-9,RUB,Materials,Россия
RU000A1020L5,RU000A1020L5,Самарская область 35015,RUB,Municipal,Россия
RU000A10C3F4,RU000A10C3F4,СФО Сплит Финанс ПВ-1,RUB,Financial,Россия
SU26224RMFS4,RU000A0ZYUA9,ОФЗ 26224,RUB,Government,Россия
RU000A109K40,RU000A109K40,ФосАгро БО-П02,RUB,Materials,Россия
SU46020RMFS2,RU000A0GN9A7,ОФЗ 46020,RUB,Government,Россия
RU000A10A7C4,RU000A10A7C4,Европлан 001P-08,RUB,Other,Россия
RU000A10AT35,RU000A10AT35,ИКС 5 Финанс 003P-11,RUB,Consumer,Россия
RU000A1097T6,RU000A1097T6,СФО СБ Секьюритизация Класс А А,RUB,Financial,Россия
RU000A10AHC9,RU000A10AHC9,РЕСО-Лизинг БО-П-23,RUB,Financial,Россия
RU000A10B0A2,RU000A10B0A2,Магнит БО-005Р-03,RUB,Consumer,Россия
RU000A10EK48,RU000A10EK48,СФО СБ Секьюритизация 4 кл.АС,RUB,Financial,Россия
RU000A10ENP1,RU000A10ENP1,СФО Альфа Фабрика ПК-3 класс А,RUB,Financial,Россия
RU000A10C8C0,RU000A10C8C0,РЖД БО 001P-44R,RUB,Industrials,Россия
RU000A10DYG9,RU000A10DYG9,Атомэнергопром 001Р-10,RUB,Energy,Россия
RU000A107UW1,RU000A107UW1,Газпром нефть БО 003P-10R,RUB,Energy,Россия
RU000A1083A6,RU000A1083A6,ГМК Норникель БО-001Р-07,RUB,Materials,Россия
